IP,Country,City,Temperature,Weather
IP,Country,City,Temperature,Weather
122.35.203.161,South Korea,Seoul,1.79,Clear
174.217.10.111,United States,Ashburn,6.05,Clear
187.121.176.91,Brazil,Santo Cristo,20.92,Clear
176.114.85.116,Russia,Moscow,0.19,Clouds
174.59.204.133,United States,,2.86,Mist
54.209.112.174,United States,Richmond,7.82,Clear
109.185.143.49,Moldova,Chișinău,10.89,Clouds
176.114.253.216,Czechia,Prague,0.39,Fog
210.171.87.76,Japan,Tokyo,10.87,Clouds
24.169.250.142,United States,Austin,18.53,Mist
